Group: aopalliance | Artifact: aopalliance | Version: 1.0
Group: org.apache.maven | Artifact: maven-core | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-error-diagnostics | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-error-diagnostics | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-model | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-model | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-model | Version: 3.0
Group: org.apache.maven | Artifact: maven-monitor | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-monitor | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-plugin-api | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-plugin-api | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-plugin-api | Version: 3.0
Group: org.apache.maven | Artifact: maven-plugin-descriptor | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-plugin-descriptor | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-plugin-parameter-documenter | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-plugin-parameter-documenter | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-plugin-registry | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-plugin-registry | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-profile | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-profile | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-project | Version: 2.0.6
Group: org.apache.maven | Artifact: maven-project | Version: 2.0.9
Group: org.apache.maven | Artifact: maven-repository-metadata | Version: 2.0.6
